# NEPTS  2002 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -4.1792E-02  9.6533E+00  9.6533E+00  1.6390E+02
 -4.1408E-02  9.8807E+00  9.8807E+00  1.6762E+02
 -4.1024E-02  1.0050E+01  1.0050E+01  1.7041E+02
 -4.0640E-02  1.0155E+01  1.0155E+01  1.7218E+02
 -4.0257E-02  1.0194E+01  1.0194E+01  1.7291E+02
 -3.9873E-02  1.0165E+01  1.0165E+01  1.7257E+02
 -3.9489E-02  1.0069E+01  1.0069E+01  1.7119E+02
 -3.9105E-02  9.9090E+00  9.9090E+00  1.6882E+02
 -3.8722E-02  9.6915E+00  9.6915E+00  1.6557E+02
 -3.8338E-02  9.4238E+00  9.4238E+00  1.6155E+02
 -3.7954E-02  9.1160E+00  9.1160E+00  1.5693E+02
 -3.7571E-02  8.7802E+00  8.7802E+00  1.5190E+02
 -3.7187E-02  8.4299E+00  8.4299E+00  1.4666E+02
 -3.6803E-02  8.0797E+00  8.0797E+00  1.4142E+02
 -3.6419E-02  7.7444E+00  7.7444E+00  1.3642E+02
 -3.6036E-02  7.4381E+00  7.4381E+00  1.3186E+02
 -3.5652E-02  7.1735E+00  7.1735E+00  1.2792E+02
 -3.5268E-02  6.9598E+00  6.9598E+00  1.2471E+02
 -3.4884E-02  6.8015E+00  6.8015E+00  1.2230E+02
 -3.4501E-02  7.0440E+00  7.0440E+00  1.3167E+02
 -3.4117E-02  8.0856E+00  8.0856E+00  1.6567E+02
 -3.3733E-02  8.1084E+00  8.1084E+00  1.7571E+02
 -3.3350E-02  7.3690E+00  7.3690E+00  1.6175E+02
 -3.2966E-02  6.8220E+00  6.8220E+00  1.4773E+02
 -3.2582E-02  6.3296E+00  6.3296E+00  1.3401E+02
 -3.2198E-02  5.8877E+00  5.8877E+00  1.2798E+02
 -3.1815E-02  5.5016E+00  5.5016E+00  1.2385E+02
